accidentType,authoritiesInvolved,driverAge,driverExperience,driverGender,educationLevel,incidentSeverity,incidentTime,index,insuranceAccess,insurancePremium,licenceType,numBodilyInjuries,numVehiclesInvolved,policeReportBool,timeAsCustomer,totalClaimAmount,vehicleAge,fraud
Single Vehicle Collision,Ambulance,60.0,41.0,,High School,Total Loss,1.0,1883.0,2000.0,1096.0,Full,0.0,1.0,1.0,82.0,3000.0,8.0,0
Parked Car,Police,53.0,36.0,1.0,High School,Trivial Damage,9.0,554.0,1000.0,1496.0,Full,2.0,1.0,0.0,428.0,6930.0,2.0,0
Single Vehicle Collision,Ambulance,34.0,18.0,,High School,Total Loss,17.0,2025.0,500.0,1127.0,Full,-0.0,1.0,1.0,40.0,9000.0,10.0,0
Vehicle Theft,Police,45.0,28.0,,High School,Minor Loss,8.0,1911.0,1000.0,1667.0,Full,0.0,1.0,0.0,99.0,4000.0,19.0,0
Multi-vehicle Collision,Police,51.0,30.0,,College,Major Loss,14.0,2388.0,500.0,1075.0,Full,0.0,4.0,1.0,89.0,9000.0,20.0,0
Multi-vehicle Collision,Fire,44.0,25.0,1.0,College,Minor Damage,22.0,413.0,2000.0,1102.0,Full,2.0,3.0,0.0,247.0,69480.0,7.0,0
Vehicle Theft,,25.0,9.0,,High School,Total Loss,10.0,1879.0,1000.0,1031.0,Full,1.0,1.0,0.0,99.0,1000.0,8.0,0
Single Vehicle Collision,Police,41.0,21.0,,Masters,Major Loss,14.0,1836.0,1000.0,1170.0,Full,1.0,1.0,1.0,91.0,7000.0,13.0,0
Multi-vehicle Collision,Ambulance,54.0,36.0,,College,Major Loss,5.0,2554.0,2000.0,1211.0,Full,-0.0,3.0,1.0,74.0,3000.0,7.0,0
Parked Car,,57.0,38.0,-0.0,High School,Minor Damage,3.0,703.0,500.0,1352.0,Full,1.0,1.0,-0.0,396.0,2640.0,15.0,0
Multi-vehicle Collision,Ambulance,43.0,26.0,,High School,Major Loss,20.0,2368.0,500.0,1529.0,Full,1.0,3.0,1.0,92.0,7000.0,20.0,0
Single Vehicle Collision,,33.0,15.0,,Bachelor,Total Loss,21.0,1821.0,500.0,1355.0,Full,1.0,1.0,1.0,19.0,5000.0,20.0,0
Multi-vehicle Collision,Police,53.0,35.0,,High School,Minor Loss,8.0,2012.0,500.0,1488.0,Full,1.0,3.0,1.0,33.0,3000.0,-0.0,0
Single Vehicle Collision,Ambulance,55.0,37.0,,High School,Total Loss,2.0,2150.0,500.0,1450.0,Full,1.0,1.0,1.0,30.0,9000.0,2.0,1
Single Vehicle Collision,Police,38.0,18.0,1.0,High School,Major Damage,6.0,692.0,1000.0,1281.0,Full,-0.0,1.0,-0.0,199.0,44440.0,8.0,0
Multi-vehicle Collision,Ambulance,33.0,14.0,1.0,Masters,Minor Damage,20.0,155.0,1000.0,1053.0,Full,1.0,3.0,0.0,101.0,54240.0,2.0,0
Multi-vehicle Collision,Ambulance,43.0,23.0,,Masters,Major Loss,13.0,1398.0,500.0,1522.0,Full,1.0,3.0,-0.0,52.0,3000.0,3.0,0
Single Vehicle Collision,Police,46.0,29.0,,High School,Major Loss,14.0,2370.0,500.0,1054.0,Full,1.0,1.0,1.0,116.0,7000.0,10.0,0
Vehicle Theft,,40.0,23.0,,Bachelor,Total Loss,8.0,2190.0,1000.0,1313.0,Full,1.0,1.0,0.0,6.0,8000.0,4.0,0
Multi-vehicle Collision,Police,37.0,15.0,0.0,JD,Major Damage,10.0,32.0,2000.0,1337.0,Full,2.0,3.0,0.0,166.0,67140.0,9.0,0
Multi-vehicle Collision,Other,34.0,15.0,,Bachelor,Total Loss,1.0,2443.0,1000.0,854.0,Full,1.0,3.0,1.0,25.0,2000.0,18.0,0
Multi-vehicle Collision,Ambulance,54.0,33.0,,College,Minor Loss,18.0,1740.0,1000.0,1425.0,Full,0.0,3.0,1.0,7.0,10000.0,5.0,0
Parked Car,Police,60.0,39.0,1.0,Associate,Minor Damage,6.0,1000.0,1000.0,766.0,Full,0.0,1.0,-0.0,456.0,5060.0,8.0,0
Single Vehicle Collision,Other,46.0,28.0,0.0,MD,Minor Damage,13.0,176.0,2000.0,898.0,Full,1.0,1.0,1.0,324.0,79600.0,4.0,0
Single Vehicle Collision,Other,42.0,23.0,1.0,Associate,Total Loss,13.0,613.0,500.0,1339.0,Full,1.0,1.0,1.0,56.0,61490.0,17.0,0
Single Vehicle Collision,Fire,28.0,6.0,-0.0,Masters,Major Damage,23.0,331.0,1000.0,1378.0,Full,2.0,1.0,0.0,129.0,44640.0,10.0,0
Multi-vehicle Collision,Ambulance,50.0,29.0,,Masters,Total Loss,14.0,1573.0,2000.0,1308.0,Full,-0.0,3.0,-0.0,74.0,4000.0,6.0,0
Multi-vehicle Collision,Other,33.0,14.0,,MD,Total Loss,1.0,2401.0,500.0,1532.0,Full,0.0,3.0,1.0,99.0,3000.0,18.0,0
Multi-vehicle Collision,Other,47.0,26.0,1.0,High School,Total Loss,20.0,630.0,2000.0,1133.0,Full,0.0,2.0,1.0,330.0,60500.0,16.0,0
Multi-vehicle Collision,Ambulance,32.0,16.0,,High School,Major Loss,15.0,1314.0,1000.0,1419.0,Full,1.0,2.0,1.0,59.0,1000.0,2.0,0
Single Vehicle Collision,Other,44.0,27.0,-0.0,PhD,Total Loss,12.0,360.0,500.0,1098.0,Full,1.0,1.0,1.0,292.0,61700.0,10.0,0
Parked Car,Ambulance,35.0,13.0,,Bachelor,Major Loss,2.0,1861.0,2000.0,1610.0,Full,-0.0,1.0,1.0,21.0,5000.0,10.0,0
Multi-vehicle Collision,Police,21.0,4.0,-0.0,Associate,Total Loss,19.0,851.0,1000.0,1556.0,P2,2.0,3.0,1.0,13.0,94930.0,1.0,0
Single Vehicle Collision,Other,44.0,22.0,,College,Major Loss,6.0,1467.0,1000.0,1475.0,Full,0.0,1.0,1.0,48.0,1000.0,9.0,0
Multi-vehicle Collision,Ambulance,33.0,15.0,,Bachelor,Total Loss,20.0,1068.0,1000.0,1103.0,Full,-0.0,3.0,1.0,118.0,6000.0,15.0,0
Multi-vehicle Collision,,33.0,11.0,,Bachelor,Total Loss,16.0,1313.0,2000.0,1415.0,Full,1.0,3.0,1.0,82.0,8000.0,19.0,0
Single Vehicle Collision,Fire,38.0,17.0,1.0,Masters,Minor Damage,20.0,996.0,1000.0,1311.0,Full,0.0,1.0,0.0,3.0,87200.0,9.0,0
Multi-vehicle Collision,Police,33.0,14.0,1.0,JD,Major Damage,6.0,279.0,2000.0,694.0,Full,-0.0,3.0,1.0,108.0,64350.0,4.0,0
Parked Car,Police,63.0,42.0,,High School,Total Loss,7.0,2010.0,1000.0,1622.0,Full,1.0,1.0,1.0,105.0,10000.0,4.0,1
Multi-vehicle Collision,Fire,36.0,15.0,-0.0,Associate,Major Damage,17.0,181.0,2000.0,1713.0,Full,2.0,3.0,1.0,53.0,51100.0,9.0,0
Single Vehicle Collision,Ambulance,38.0,21.0,1.0,PhD,Minor Damage,13.0,460.0,2000.0,1454.0,Full,2.0,1.0,0.0,163.0,79500.0,20.0,0
Single Vehicle Collision,,32.0,15.0,,Bachelor,Total Loss,8.0,1950.0,500.0,1086.0,Full,0.0,1.0,1.0,112.0,9000.0,5.0,0
Single Vehicle Collision,Ambulance,51.0,34.0,,Bachelor,Minor Loss,16.0,2004.0,2000.0,1673.0,Full,1.0,1.0,0.0,25.0,1000.0,18.0,0
Single Vehicle Collision,Other,35.0,16.0,,High School,Minor Loss,10.0,2561.0,500.0,1187.0,Full,-0.0,1.0,0.0,88.0,1000.0,2.0,0
Vehicle Theft,Police,30.0,8.0,,PhD,Total Loss,21.0,2296.0,500.0,1191.0,Full,1.0,1.0,1.0,12.0,2000.0,16.0,1
Multi-vehicle Collision,Ambulance,59.0,40.0,,Bachelor,Minor Loss,12.0,1076.0,1000.0,1469.0,Full,1.0,4.0,1.0,116.0,2000.0,10.0,0
Parked Car,,40.0,23.0,1.0,Associate,Minor Damage,6.0,272.0,1000.0,1252.0,Full,0.0,1.0,-0.0,271.0,3080.0,3.0,0
Single Vehicle Collision,Police,48.0,29.0,,College,Minor Loss,18.0,1559.0,1000.0,1218.0,Full,-0.0,1.0,0.0,61.0,6000.0,8.0,0
Single Vehicle Collision,Ambulance,57.0,37.0,,Bachelor,Minor Loss,1.0,1288.0,2000.0,1592.0,Full,-0.0,1.0,-0.0,34.0,2000.0,9.0,0
Single Vehicle Collision,Police,53.0,33.0,0.0,JD,Minor Damage,16.0,823.0,500.0,1079.0,Full,2.0,1.0,1.0,386.0,66660.0,9.0,0
Multi-vehicle Collision,Fire,38.0,19.0,1.0,Associate,Major Damage,23.0,225.0,2000.0,1003.0,Full,-0.0,3.0,1.0,241.0,77880.0,7.0,0
Multi-vehicle Collision,,50.0,30.0,,Masters,Major Loss,14.0,2379.0,1000.0,1070.0,Full,0.0,3.0,0.0,95.0,10000.0,1.0,1
Vehicle Theft,Police,40.0,21.0,1.0,MD,Trivial Damage,2.0,259.0,500.0,1343.0,Full,1.0,1.0,1.0,244.0,5940.0,1.0,0
Single Vehicle Collision,Ambulance,58.0,36.0,,Bachelor,Minor Loss,23.0,1718.0,1000.0,1564.0,Full,-0.0,1.0,1.0,58.0,10000.0,20.0,1
Multi-vehicle Collision,Ambulance,46.0,25.0,1.0,PhD,Major Damage,3.0,332.0,2000.0,1313.0,Full,1.0,3.0,-0.0,283.0,77660.0,11.0,0
Multi-vehicle Collision,Ambulance,53.0,35.0,,College,Major Loss,7.0,1410.0,1000.0,1193.0,Full,-0.0,3.0,1.0,41.0,6000.0,20.0,0
Multi-vehicle Collision,Ambulance,40.0,20.0,0.0,Associate,Major Damage,3.0,786.0,2000.0,1306.0,Full,2.0,3.0,-0.0,257.0,50050.0,7.0,0
Multi-vehicle Collision,Other,62.0,41.0,1.0,MD,Major Damage,13.0,713.0,1000.0,1396.0,Full,1.0,3.0,-0.0,456.0,66480.0,3.0,0
Multi-vehicle Collision,Ambulance,30.0,12.0,1.0,MD,Minor Damage,18.0,925.0,2000.0,1341.0,Full,0.0,3.0,-0.0,135.0,32670.0,12.0,0
Multi-vehicle Collision,Police,51.0,33.0,,Masters,Minor Loss,23.0,1176.0,2000.0,1021.0,Full,-0.0,4.0,1.0,8.0,5000.0,9.0,0
Multi-vehicle Collision,Police,27.0,5.0,1.0,College,Minor Damage,11.0,652.0,1000.0,1537.0,Full,1.0,3.0,-0.0,103.0,77700.0,7.0,0
Multi-vehicle Collision,Ambulance,37.0,15.0,,High School,Major Loss,8.0,1723.0,2000.0,1254.0,Full,1.0,3.0,1.0,39.0,2000.0,4.0,0
Single Vehicle Collision,Ambulance,43.0,26.0,,Bachelor,Minor Loss,19.0,1881.0,1000.0,1476.0,Full,1.0,1.0,1.0,30.0,4000.0,18.0,0
Multi-vehicle Collision,Police,41.0,20.0,1.0,Associate,Total Loss,15.0,22.0,2000.0,875.0,Full,1.0,3.0,-0.0,217.0,37840.0,19.0,0
Single Vehicle Collision,Ambulance,27.0,8.0,,Bachelor,Major Loss,7.0,1392.0,1000.0,1020.0,Full,1.0,1.0,0.0,55.0,6000.0,4.0,0
Parked Car,Other,55.0,37.0,,High School,Total Loss,23.0,1855.0,1000.0,1270.0,Full,1.0,1.0,0.0,105.0,6000.0,6.0,0
Single Vehicle Collision,,59.0,37.0,,College,Total Loss,5.0,1473.0,2000.0,1659.0,Full,1.0,1.0,-0.0,119.0,3000.0,2.0,0
Single Vehicle Collision,Other,31.0,14.0,1.0,PhD,Total Loss,2.0,924.0,2000.0,951.0,Full,1.0,1.0,1.0,90.0,75790.0,8.0,0
Single Vehicle Collision,Ambulance,37.0,20.0,,High School,Major Loss,0.0,2187.0,500.0,1325.0,Full,1.0,1.0,-0.0,115.0,7000.0,15.0,0
Single Vehicle Collision,Police,33.0,12.0,,High School,Minor Loss,15.0,2160.0,500.0,1215.0,Full,1.0,1.0,-0.0,25.0,9000.0,20.0,0
Vehicle Theft,,39.0,19.0,,Bachelor,Total Loss,11.0,1569.0,1000.0,1542.0,Full,1.0,1.0,0.0,49.0,8000.0,2.0,0
Multi-vehicle Collision,Police,27.0,11.0,,High School,Major Loss,22.0,1485.0,1000.0,950.0,Full,1.0,3.0,1.0,115.0,7000.0,11.0,0
Vehicle Theft,,33.0,13.0,-0.0,High School,Minor Damage,3.0,491.0,2000.0,1552.0,Full,1.0,1.0,-0.0,191.0,2250.0,10.0,0
Single Vehicle Collision,Fire,38.0,17.0,1.0,PhD,Minor Damage,4.0,119.0,2000.0,1270.0,Full,1.0,1.0,1.0,164.0,90000.0,-0.0,0
Multi-vehicle Collision,Police,45.0,25.0,,High School,Minor Loss,21.0,2363.0,500.0,1090.0,Full,-0.0,3.0,1.0,117.0,8000.0,16.0,1
Multi-vehicle Collision,Ambulance,34.0,14.0,1.0,JD,Minor Damage,11.0,961.0,500.0,1430.0,Full,1.0,3.0,1.0,194.0,57200.0,10.0,0
Multi-vehicle Collision,Police,24.0,2.0,1.0,PhD,Minor Damage,13.0,507.0,1000.0,1144.0,P1,2.0,3.0,-0.0,12.0,53370.0,4.0,0
Multi-vehicle Collision,Fire,62.0,41.0,0.0,PhD,Major Damage,7.0,204.0,500.0,1012.0,Full,-0.0,3.0,-0.0,468.0,64350.0,6.0,1
Single Vehicle Collision,Ambulance,63.0,44.0,,Bachelor,Minor Loss,0.0,1657.0,500.0,1516.0,Full,0.0,1.0,1.0,18.0,2000.0,8.0,1
Parked Car,Police,49.0,27.0,,Masters,Total Loss,14.0,1148.0,1000.0,1411.0,Full,0.0,1.0,1.0,33.0,4000.0,8.0,1
Single Vehicle Collision,Ambulance,28.0,7.0,,MD,Major Loss,11.0,1238.0,1000.0,1614.0,Full,1.0,1.0,0.0,50.0,5000.0,14.0,1
Single Vehicle Collision,Police,55.0,36.0,,Bachelor,Major Loss,22.0,2230.0,500.0,1567.0,Full,1.0,1.0,1.0,58.0,7000.0,20.0,0
Vehicle Theft,Police,44.0,25.0,0.0,MD,Minor Damage,3.0,909.0,2000.0,1144.0,Full,1.0,1.0,-0.0,285.0,5500.0,5.0,0
Single Vehicle Collision,Ambulance,37.0,17.0,,Bachelor,Minor Loss,1.0,2191.0,500.0,1458.0,Full,-0.0,1.0,1.0,36.0,5000.0,14.0,0
Single Vehicle Collision,Fire,50.0,29.0,0.0,Masters,Major Damage,7.0,686.0,500.0,1216.0,Full,2.0,1.0,-0.0,334.0,50000.0,7.0,0
Parked Car,,59.0,41.0,1.0,JD,Minor Damage,8.0,158.0,500.0,1344.0,Full,2.0,1.0,-0.0,428.0,6500.0,2.0,0
Single Vehicle Collision,,53.0,34.0,,High School,Total Loss,7.0,1591.0,2000.0,1441.0,Full,1.0,1.0,-0.0,89.0,10000.0,1.0,0
Multi-vehicle Collision,Ambulance,42.0,26.0,,PhD,Major Loss,22.0,1702.0,500.0,1006.0,Full,1.0,3.0,1.0,21.0,3000.0,4.0,0
Multi-vehicle Collision,Police,28.0,10.0,,Masters,Minor Loss,5.0,2214.0,2000.0,1173.0,Full,0.0,4.0,1.0,28.0,3000.0,20.0,0
Single Vehicle Collision,Police,38.0,22.0,,High School,Minor Loss,3.0,1258.0,500.0,1451.0,Full,1.0,1.0,-0.0,113.0,9000.0,1.0,0
Single Vehicle Collision,Police,33.0,13.0,,High School,Major Loss,15.0,1011.0,2000.0,1202.0,Full,1.0,1.0,1.0,36.0,7000.0,18.0,0
Vehicle Theft,Police,44.0,26.0,1.0,JD,Minor Damage,7.0,843.0,500.0,1396.0,Full,2.0,1.0,-0.0,274.0,5590.0,15.0,1
Multi-vehicle Collision,Other,61.0,41.0,,Bachelor,Major Loss,19.0,2555.0,1000.0,1428.0,Full,1.0,3.0,1.0,55.0,4000.0,8.0,0
Single Vehicle Collision,,33.0,12.0,,High School,Minor Loss,23.0,2473.0,1000.0,887.0,Full,1.0,1.0,0.0,100.0,3000.0,9.0,0
Multi-vehicle Collision,Fire,31.0,15.0,1.0,MD,Total Loss,21.0,748.0,500.0,1970.0,Full,1.0,3.0,1.0,37.0,76450.0,20.0,1
Multi-vehicle Collision,,35.0,15.0,,Bachelor,Major Loss,18.0,1961.0,2000.0,937.0,Full,0.0,3.0,0.0,56.0,10000.0,10.0,1
Single Vehicle Collision,Ambulance,33.0,14.0,1.0,High School,Minor Damage,2.0,708.0,1000.0,841.0,Full,-0.0,1.0,0.0,152.0,82610.0,13.0,1
Multi-vehicle Collision,Ambulance,25.0,6.0,,Bachelor,Total Loss,5.0,2200.0,1000.0,1300.0,Full,1.0,3.0,1.0,74.0,2000.0,2.0,0
Multi-vehicle Collision,,59.0,39.0,,Bachelor,Minor Loss,11.0,2165.0,500.0,1515.0,Full,0.0,3.0,-0.0,8.0,9000.0,16.0,1
Vehicle Theft,Ambulance,38.0,16.0,,Bachelor,Major Loss,20.0,1112.0,2000.0,1092.0,Full,1.0,1.0,-0.0,116.0,10000.0,17.0,1
Single Vehicle Collision,Fire,35.0,14.0,0.0,MD,Total Loss,13.0,971.0,500.0,871.0,Full,2.0,1.0,1.0,213.0,74140.0,8.0,0
Single Vehicle Collision,Other,40.0,22.0,1.0,Masters,Total Loss,0.0,179.0,500.0,885.0,Full,0.0,1.0,-0.0,245.0,85150.0,17.0,0
Single Vehicle Collision,Other,30.0,13.0,1.0,PhD,Total Loss,23.0,44.0,500.0,538.0,Full,2.0,1.0,-0.0,106.0,51120.0,10.0,0
Single Vehicle Collision,Ambulance,38.0,21.0,1.0,PhD,Minor Damage,13.0,460.0,2000.0,1454.0,Full,2.0,1.0,-0.0,163.0,79500.0,20.0,0
Single Vehicle Collision,Police,38.0,17.0,1.0,Masters,Major Damage,17.0,644.0,500.0,1544.0,Full,0.0,1.0,1.0,183.0,51920.0,14.0,0
Multi-vehicle Collision,Other,42.0,24.0,1.0,Masters,Total Loss,7.0,233.0,500.0,1073.0,Full,2.0,4.0,1.0,235.0,69100.0,9.0,0
Vehicle Theft,Ambulance,63.0,46.0,,High School,Major Loss,11.0,1272.0,1000.0,936.0,Full,1.0,1.0,1.0,91.0,5000.0,1.0,0
Single Vehicle Collision,,41.0,21.0,,Bachelor,Major Loss,12.0,1542.0,500.0,1157.0,Full,0.0,1.0,1.0,29.0,1000.0,14.0,1
Single Vehicle Collision,Ambulance,56.0,38.0,0.0,Associate,Minor Damage,-0.0,347.0,1000.0,1128.0,Full,2.0,1.0,1.0,429.0,39480.0,13.0,0
Single Vehicle Collision,Other,40.0,19.0,-0.0,PhD,Total Loss,13.0,576.0,1000.0,1022.0,Full,-0.0,1.0,0.0,182.0,71100.0,7.0,0
Multi-vehicle Collision,Police,28.0,9.0,-0.0,College,Minor Damage,20.0,358.0,1000.0,1574.0,Full,0.0,3.0,0.0,110.0,65040.0,5.0,0
Parked Car,Police,44.0,22.0,,Bachelor,Major Loss,0.0,1620.0,500.0,1086.0,Full,-0.0,1.0,0.0,91.0,2000.0,15.0,0
Single Vehicle Collision,Ambulance,44.0,22.0,,High School,Total Loss,6.0,1254.0,1000.0,1245.0,Full,1.0,1.0,0.0,73.0,2000.0,8.0,0
Single Vehicle Collision,Ambulance,27.0,11.0,,High School,Total Loss,-0.0,2485.0,500.0,1122.0,Full,1.0,1.0,1.0,107.0,6000.0,10.0,1
Multi-vehicle Collision,,50.0,31.0,,High School,Major Loss,16.0,1541.0,2000.0,851.0,Full,1.0,3.0,1.0,39.0,2000.0,8.0,0
Multi-vehicle Collision,,38.0,22.0,,Masters,Major Loss,6.0,2124.0,2000.0,1620.0,Full,1.0,3.0,1.0,110.0,5000.0,3.0,0
Multi-vehicle Collision,Ambulance,56.0,34.0,,High School,Minor Loss,18.0,1237.0,1000.0,1156.0,Full,-0.0,3.0,1.0,15.0,7000.0,11.0,1
Single Vehicle Collision,Ambulance,41.0,21.0,,Bachelor,Total Loss,9.0,2436.0,2000.0,1554.0,Full,1.0,1.0,1.0,7.0,4000.0,6.0,0
Multi-vehicle Collision,Police,39.0,23.0,-0.0,High School,Total Loss,9.0,793.0,2000.0,1140.0,Full,0.0,3.0,-0.0,169.0,46200.0,-0.0,1
Multi-vehicle Collision,Police,57.0,37.0,-0.0,College,Major Damage,19.0,762.0,1000.0,996.0,Full,0.0,3.0,-0.0,440.0,68200.0,8.0,0
Multi-vehicle Collision,Ambulance,33.0,14.0,,Bachelor,Minor Loss,8.0,1586.0,1000.0,1550.0,Full,1.0,3.0,1.0,37.0,2000.0,1.0,0
Multi-vehicle Collision,Fire,35.0,16.0,1.0,College,Total Loss,11.0,559.0,500.0,1433.0,Full,2.0,3.0,0.0,210.0,24570.0,9.0,0
Multi-vehicle Collision,Police,33.0,14.0,,High School,Major Loss,22.0,1619.0,500.0,898.0,Full,1.0,3.0,1.0,57.0,1000.0,2.0,0
Single Vehicle Collision,Police,43.0,25.0,-0.0,Associate,Major Damage,4.0,840.0,500.0,1257.0,Full,2.0,1.0,1.0,234.0,51600.0,4.0,0
Vehicle Theft,Other,37.0,19.0,,High School,Major Loss,6.0,1747.0,1000.0,895.0,Full,1.0,1.0,1.0,20.0,9000.0,1.0,0
Single Vehicle Collision,Ambulance,57.0,37.0,,Bachelor,Minor Loss,1.0,1288.0,2000.0,1592.0,Full,0.0,1.0,-0.0,34.0,2000.0,9.0,1
Vehicle Theft,,48.0,27.0,,Masters,Total Loss,17.0,2522.0,2000.0,1667.0,Full,1.0,1.0,0.0,58.0,7000.0,14.0,0
Multi-vehicle Collision,Other,43.0,25.0,-0.0,PhD,Major Damage,0.0,763.0,500.0,1508.0,Full,2.0,3.0,0.0,264.0,60750.0,0.0,0
Single Vehicle Collision,Other,32.0,15.0,-0.0,JD,Total Loss,11.0,575.0,500.0,1537.0,Full,1.0,1.0,-0.0,102.0,47400.0,11.0,0
Multi-vehicle Collision,Other,30.0,12.0,0.0,PhD,Total Loss,16.0,860.0,2000.0,1193.0,Full,2.0,3.0,0.0,130.0,48950.0,10.0,1
Multi-vehicle Collision,Other,30.0,11.0,1.0,College,Minor Damage,4.0,817.0,500.0,1354.0,Full,0.0,4.0,-0.0,140.0,60170.0,9.0,0
Vehicle Theft,Other,27.0,10.0,,Bachelor,Major Loss,15.0,2330.0,2000.0,993.0,Full,1.0,1.0,0.0,23.0,8000.0,15.0,1
Single Vehicle Collision,Ambulance,55.0,38.0,,Bachelor,Major Loss,1.0,1893.0,1000.0,995.0,Full,0.0,1.0,0.0,107.0,2000.0,5.0,0
Single Vehicle Collision,Police,37.0,17.0,0.0,Associate,Total Loss,13.0,338.0,1000.0,894.0,Full,2.0,1.0,-0.0,159.0,70290.0,16.0,1
Multi-vehicle Collision,Ambulance,33.0,15.0,,High School,Major Loss,2.0,2250.0,1000.0,1009.0,Full,1.0,3.0,-0.0,39.0,3000.0,1.0,0
Multi-vehicle Collision,,60.0,39.0,,MD,Minor Loss,2.0,1346.0,500.0,1611.0,Full,1.0,4.0,1.0,48.0,7000.0,13.0,0
Single Vehicle Collision,Police,41.0,25.0,1.0,Masters,Minor Damage,16.0,385.0,2000.0,1241.0,Full,2.0,1.0,1.0,254.0,100210.0,1.0,0
Multi-vehicle Collision,Other,28.0,7.0,,Bachelor,Minor Loss,15.0,1694.0,500.0,885.0,Full,1.0,3.0,1.0,92.0,3000.0,15.0,0
Multi-vehicle Collision,Ambulance,30.0,9.0,,Bachelor,Major Loss,2.0,1417.0,500.0,1492.0,Full,1.0,4.0,-0.0,106.0,3000.0,16.0,0
Multi-vehicle Collision,Ambulance,25.0,4.0,,College,Major Loss,3.0,1342.0,2000.0,1409.0,P2,1.0,4.0,1.0,102.0,6000.0,7.0,0
Single Vehicle Collision,Police,58.0,40.0,,MD,Minor Loss,-0.0,2120.0,500.0,1061.0,Full,1.0,1.0,1.0,6.0,6000.0,6.0,0
Multi-vehicle Collision,Other,33.0,12.0,,College,Minor Loss,6.0,2356.0,1000.0,1039.0,Full,1.0,2.0,0.0,48.0,8000.0,17.0,0
Single Vehicle Collision,Police,41.0,20.0,1.0,College,Total Loss,17.0,593.0,1000.0,1435.0,Full,2.0,1.0,-0.0,253.0,56610.0,20.0,0
Single Vehicle Collision,Ambulance,35.0,14.0,1.0,Associate,Minor Damage,-0.0,760.0,1000.0,919.0,Full,0.0,1.0,0.0,155.0,48360.0,18.0,0
Single Vehicle Collision,Ambulance,32.0,14.0,-0.0,PhD,Minor Damage,16.0,135.0,2000.0,1625.0,Full,1.0,1.0,-0.0,93.0,78120.0,9.0,0
Vehicle Theft,Ambulance,58.0,41.0,,High School,Total Loss,11.0,1369.0,500.0,1353.0,Full,-0.0,1.0,0.0,53.0,6000.0,3.0,1
Vehicle Theft,,56.0,36.0,,High School,Minor Loss,20.0,2085.0,2000.0,1012.0,Full,1.0,1.0,1.0,100.0,9000.0,6.0,0
Single Vehicle Collision,Police,35.0,18.0,,High School,Minor Loss,6.0,1844.0,1000.0,1207.0,Full,1.0,1.0,1.0,102.0,10000.0,8.0,0
Multi-vehicle Collision,Ambulance,37.0,15.0,,High School,Major Loss,8.0,1723.0,2000.0,1254.0,Full,1.0,3.0,1.0,39.0,2000.0,4.0,0
Multi-vehicle Collision,Police,36.0,20.0,1.0,Masters,Total Loss,16.0,476.0,2000.0,1234.0,Full,1.0,3.0,-0.0,146.0,55900.0,-0.0,0
Single Vehicle Collision,Ambulance,36.0,17.0,,Masters,Major Loss,10.0,2396.0,1000.0,1111.0,Full,1.0,1.0,0.0,45.0,9000.0,15.0,0
Single Vehicle Collision,Police,38.0,17.0,1.0,Associate,Total Loss,16.0,345.0,1000.0,1385.0,Full,2.0,1.0,0.0,216.0,66600.0,3.0,0
Multi-vehicle Collision,Ambulance,38.0,18.0,,Masters,Total Loss,6.0,2566.0,2000.0,1353.0,Full,1.0,3.0,1.0,28.0,4000.0,11.0,0
Single Vehicle Collision,Fire,39.0,20.0,0.0,PhD,Minor Damage,22.0,772.0,500.0,1265.0,Full,1.0,1.0,0.0,209.0,37800.0,20.0,0
Vehicle Theft,Ambulance,64.0,47.0,,Bachelor,Total Loss,19.0,1220.0,500.0,1165.0,Full,1.0,1.0,1.0,68.0,1000.0,11.0,0
Multi-vehicle Collision,Police,36.0,20.0,1.0,Masters,Total Loss,16.0,476.0,2000.0,1234.0,Full,1.0,3.0,-0.0,146.0,55900.0,0.0,0
Multi-vehicle Collision,Other,57.0,36.0,-0.0,MD,Total Loss,21.0,878.0,1000.0,1132.0,Full,2.0,3.0,-0.0,405.0,61440.0,7.0,0
Multi-vehicle Collision,Other,60.0,42.0,,Masters,Total Loss,22.0,2218.0,500.0,1139.0,Full,1.0,4.0,-0.0,12.0,2000.0,8.0,0
Single Vehicle Collision,Police,38.0,19.0,,College,Total Loss,9.0,2412.0,500.0,1241.0,Full,1.0,1.0,1.0,101.0,1000.0,4.0,1
Vehicle Theft,,28.0,7.0,,Bachelor,Minor Loss,2.0,2325.0,1000.0,1539.0,Full,1.0,1.0,1.0,61.0,9000.0,11.0,0
Multi-vehicle Collision,Other,57.0,36.0,,High School,Major Loss,19.0,1758.0,2000.0,1044.0,Full,1.0,3.0,-0.0,63.0,4000.0,12.0,0
Multi-vehicle Collision,Police,57.0,36.0,0.0,College,Total Loss,10.0,661.0,2000.0,1373.0,Full,0.0,3.0,0.0,446.0,62800.0,3.0,1
Single Vehicle Collision,Ambulance,38.0,19.0,,High School,Total Loss,18.0,1120.0,1000.0,1350.0,Full,1.0,1.0,1.0,109.0,1000.0,17.0,0
Multi-vehicle Collision,Police,52.0,31.0,-0.0,PhD,Total Loss,15.0,579.0,1000.0,974.0,Full,1.0,2.0,1.0,415.0,51090.0,12.0,0
Multi-vehicle Collision,Ambulance,29.0,9.0,0.0,PhD,Minor Damage,-0.0,550.0,500.0,1381.0,Full,2.0,3.0,0.0,101.0,67210.0,19.0,0
